question,ID,en_question,similarity
ตัวเลือกใดต่อไปนี้ถูกต้องทีสุดเกี่ยวกับตราสารตลาดเงิน,ic_032,Which of the following options is most accurate regarding money market instruments?,0.8294345
กําหนดให้อัตราผลตอบแทนทีแท้จริงทีปราศจากความเสี่ยงเท่ากับ 2.5% อัตราผลตอบแทนทีเป็นตัวเงินทีปราศจากความเสี่ยงเท่ากับ 4% และส่วนชดเชยความเสี่ยงจากการลงทุนในหุ้นกู้ทีผู้ลงทุนให้ความสนใจจะลงทุนเท่ากับ 5% ให้คํานวณหาอัตราผลตอบแทนทีแท้จริงจากการลงทุนในหุ้นกู้ดังกล่าว โดยวิธีใช้ค่าประมาณการ,ic_033,"Given that the real risk-free rate of return is 2.5%, the nominal risk-free rate of return is 4%, and the risk premium for investing in the corporate bond that the investor is interested in is 5%, calculate the real rate of return from investing in the corporate bond using an estimation method.",0.75677073
ตัวเลือกใดต่อไปนี้้ ไม่ถูกต้อง เกี่ยวกับแนวคิดมูลค่าเงินตามเวลาของเงิน,ic_034,Which of the following options is incorrect regarding the concept of the time value of money?,0.9014369
ตัวเลือกใดต่อไปนี้้ ไม่ถูกต้อง เกี่ยวกับการวัดความเสี่ยงจากการลงทุนในหลักทรัพย์,ic_035,Which of the following options is incorrect regarding the measurement of investment risk in securities?,0.89269173
ผู้ลงทุนจัดสรรเงินลงทุนหลักทรัพย์ A 40% ส่วนทีเหลือจัดสรรเงินลงทุนในหลักทรัพย์ B หากอัตราผลตอบแทนทีคาดหวังของหลักทรัพย์ A และหลักทรัพย์ B เท่ากับ 30% และ 24% ตามลําดับ อัตราผลตอบแทนทีคาดหวังของกลุ่มหลักทรัพย์นี้จะเท่ากับเท่าใด,ic_036,"English: An investor allocates 40% of their investment to security A and the remaining amount to security B. If the expected return rates for security A and security B are 30% and 24% respectively, what is the expected return rate for this portfolio?",0.77083457
ตัวเลือกใดต่อไปนี้ถือเป็นความเสี่ยงทีขจัดได้โดยการกระจายการลงทุน,ic_037,Which of the following options is considered a risk that can be eliminated through diversification?,0.78893244
เมือผู้ลงทุนประเมินผลตอบแทนของหลักทรัพย์รายตัวแต่ละชนิด เพื่อลงทุนเป็นส่วนหนึ่งของกลุ่มหลักทรัพย์ผลตอบแทนจากหลักทรัพย์รายตัวดังกล่าว ควรคุ้มกับความเสี่ยงประเภทใด,ic_038,"When investors evaluate the returns of individual securities to invest as part of a portfolio, the returns from those individual securities should be worth which type of risk?",0.7879137
การใช้นโยบายเศรษฐกิจแบบใดทีน่าจะส่งผลดีต่อราคาหลักทรัพย์,ic_039,What type of economic policy is likely to have a positive impact on stock prices?,0.88482237
ตัวเลือกใดต่อไปนี้ถูกต้องทีสุดเกี่ยวกับความสัมพันธ์ระหว่างวัฎจักรเศรษฐกิจและอุตสาหกรรม,ic_040,Which of the following options is most accurate regarding the relationship between the economic cycle and industry?,0.8378513
ตัวเลือกใดต่อไปนี้้ ไม่ใช่ ปัจจัยทีกําหนดการแข่งขันตามแนวคิด Porter’s five forces model,ic_041,Which of the following options is not a factor that determines competition according to Porter’s five forces model?,0.947209
บริษัท A มีสินทรัพย์รวม และสินทรัพย์ไม่หมุนเวียนเท่ากับ 200 ล้านบาท และ 140 ล้านบาทตามลําดับโดยมีหนี้สินระยะยาว และส่วนของผู้ถือหุ้นเท่ากับ 110 ล้านบาท และ 60 ล้านบาทตามลําดับ อัตราส่วนทุนหมุนเวียนของบริษัทจะเท่ากับเท่าใด,ic_042,"Company A has total assets and non-current assets amounting to 200 million baht and 140 million baht, respectively, with long-term liabilities and shareholders' equity amounting to 110 million baht and 60 million baht, respectively. What is the company's current ratio?",0.7441098
ตัวเลือกใดต่อไปนี้ถูกต้องเกี่ยวกับรูปแบบการเปลียนแปลงของราคาหลักทรัพย์ตามทฤษฎีดาว,ic_043,Which of the following options is correct regarding the pattern of price changes in securities according to the Dow Theory?,0.74941033
ตัวเลือกใดต่อไปนี้้ ไม่ใช่ เครืองมือในการบริหารความเสี่ยงจากอัตราแลกเปลียนผ่านธนาคารพาณิชย์,ic_044,Which of the following options is not a tool for managing exchange rate risk through commercial banks?,0.873405
ในกรณีเสนอขายผลิตภัณฑ์ทีมีความเสี่ยงสูง หรือมีความซับซ้อน ต้องจัดทํา knowledge assessment เพิมเติมในด้านใดบ้าง,ic_045,"In the case of offering high-risk or complex products, what additional aspects need to be included in the knowledge assessment?",0.9055978
ตัวเลือกใดต่อไปนี้้ ไม่ใช่แนวปฎิบัติในการขาย และการให้บริการด้านผลิตภัณฑ์ตราสารทุน,ic_046,Which of the following options is not a practice in the sale and service of equity products?,0.8325982
ตัวเลือกใดต่อไปนี้ถูกต้องทีสุดเกี่ยวกับการป้องกันการล่วงรู้ และใช้ประโยชน์จากข้อมูลภายใน,ic_047,Which of the following options is the most accurate regarding the prevention of insider trading and misuse of internal information?,0.7972507
ตัวเลือกใดต่อไปนี้ทีผู้ทําหน้าทีติดต่อผู้ลงทุนสามารถปฎิบัติได้,ic_048,Which of the following options can the person responsible for investor relations perform?,0.7833755
ตัวเลือกใด ไม่ใช่ บทลงโทษทางปกครอง กรณีทีผู้ทําหน้าทีติดต่อผู้ลงทุนไม่ได้ปฎิบัติหน้าทีด้วยความรับผิดชอบและรอบคอบเยียงผู้ประกอบวิชาชีพ,ic_049,Which option is not an administrative penalty in the case where the person responsible for contacting investors does not perform their duties with responsibility and diligence as a professional?,0.84775805
ผู้ลงทุนทีตัดสินใจลงทุนในตราสารตลาดเงิน เนืองจากมีความต้องการใช้เงินลงทุนระยะสั้น แสดงถึงรูปแบบของผลตอบแทนทีต้องการแบบใด,ic_050,What type of return does an investor who decides to invest in money market instruments due to the need for short-term investment indicate?,0.81799954
ตัวเลือกใดต่อไปนี้ทีผู้ลงทุนสามารถนํามาใช้ประกอบการคัดเลือกหลักทรัพย์ทีจะลงทุนได้,ic_051,Which of the following options can investors use to select securities for investment?,0.8412714
ตัวเลือกใดต่อไปนี้้ ไม่ถูกต้อง เกี่ยวกับประเภทของหุ้นสามัญ,ic_052,Which of the following options is incorrect regarding the types of common stock?,0.8398578
ตัวเลือกใดต่อไปนี้้ ไม่ใช่ ความเสี่ยงทีส่งผลต่ออัตราผลตอบแทนจากการลงทุนในตราสารทุน,ic_053,Which of the following options is not a risk that affects the rate of return on equity investments?,0.86533463
ตัวเลือกใดต่อไปนี้้ ไม่ใช่ คุณสมบัติของการเป็นบริษัทจดทะเบียนในตลาดหลักทรัพย์ฯ,ic_054,Which of the following options is not a characteristic of being a listed company on the stock exchange?,0.839306
ตัวเลือกใดต่อไปนี้้ ไม่ถูกต้อง เกี่ยวกับปัจจัยในการกําหนดมูลค่าหุ้นสามัญ,ic_055,Which of the following options is incorrect regarding the factors in determining the value of common stock?,0.8354747
หากราคาตลาดของหุ้นอ้างอิงต่ำกว่าราคาใช้สิทธิ และวอร์แรนท์มีมูลค่าของเวลาเป็นบวก มูลค่าของวอร์แรนท์จะเท่ากับเท่าใด,ic_056,"If the market price of the underlying stock is lower than the exercise price and the warrant has positive time value, what will be the value of the warrant?",0.7983513
ตัวเลือกใดต่อไปนี้ถูกต้องทีสุดเกี่ยวกับความเสี่ยงของใบสําคัญแสดงสิทธิอนุพันธ์,ic_057,Which of the following options is most accurate regarding the risks of derivative warrants?,0.7249091
ตัวเลือกใดต่อไปนี้้ ไม่ถูกต้อง เกี่ยวกับการซื้อขายหลักทรัพย์ด้วยวิธีบันทึกการซื้อขาย,ic_058,Which of the following options is incorrect regarding trading securities using the trade recording method?,0.83095735
ตัวเลือกใดต่อไปนี้เป็นสารสนเทศ หรือข้อมูลทีเข้าข่ายต้องเปิดเผยทันที สําหรับบริษัทจดทะเบียนในตลาดหลักทรัพย์ฯ,ic_059,Which of the following options is information or data that must be immediately disclosed for a company listed on the stock exchange?,0.8729001
ตัวเลือกใดต่อไปนี้้ ไม่ใช่ องค์ประกอบของตราสารหนี้,ic_060,Which of the following options is not a component of a debt instrument?,0.8589963
ตัวเลือกใดต่อไปนี้้ ไม่ถูกต้อง เกี่ยวกับตราสารศุกูก,ic_061,Which of the following options is incorrect regarding Sukuk instruments?,0.6232206
พันธบัตรอายุคงเหลือ 1 ปี มูลค่าทีตราไว้เท่ากับ 1000 บาท อัตราดอกเบี้ยตามหน้าตั๋วเท่ากับ 6% ต่อปีโดยชําระปีละ 2 ครัง หากผู้ลงทุนต้องการผลตอบแทนเท่ากับ 4% ต่อปี และราคาตลาดของพันธบัตรในขณะนี้เท่ากับ 1015.50 บาท ควรซื้อหรือไม่ เพราะเหตุใด,ic_062,"Bond with a remaining maturity of 1 year, face value of 1,000 baht, coupon rate of 6% per year paid semi-annually. If an investor desires a return of 4% per year and the current market price of the bond is 1,015.50 baht, should they buy it? Why or why not?",0.79418075
หุ้นกู้ของบริษัทแห่งหนึ่ง ซื้อขายกันอยู่ทีราคา 900 บาท โดยมีอายุคงเหลือ 2 ปี และมีอัตราดอกเบี้ยตามหน้าตั๋วเท่ากับ 8% ชําระดอกเบี้ยทุก 4 เดือน อัตราผลตอบแทนจากดอกเบี้ยของหุ้นกู้ดังกล่าวเท่ากับเท่าใด,ic_063,"The bonds of a certain company are being traded at a price of 900 baht, with a remaining maturity of 2 years and a coupon rate of 8%, paying interest every 4 months. What is the yield to maturity of these bonds?",0.74555326
ความเสี่ยงประเภทใดต่อไปนี้ ไม่ส่งผลต่อ ผู้ลงทุนชาวไทยทีลงทุนในหุ้นกู้สกุลเงินบาท,ic_064,Which of the following types of risks does not affect Thai investors who invest in Thai baht-denominated bonds?,0.7731633
ตัวเลือกใดต่อไปนี้ถูกต้องทีสุดเกี่ยวกับการประเมินความเสี่ยงด้านเครดิต โดยบริษัทจัดอันดับความน่าเชือถือ,ic_065,Which of the following options is the most accurate regarding credit risk assessment by credit rating agencies?,0.7913361
ตัวเลือกใดต่อไปนี้ถูกต้องทีสุดเกี่ยวกับดูเรชันและปัจจัยทีส่งต่อดุเรชัน,ic_066,Which of the following options is most accurate regarding duration and the factors that affect duration?,0.695985
ตัวเลือกใดต่อไปนี้เป็นแหล่งข้อมูลเกี่ยวกับราคาตราสารหนี้,ic_067,Which of the following options is a source of information about bond prices?,0.8125281
ตัวเลือกใดต่อไปนี้ถูกต้องทีสุดเกี่ยวกับความหมายของกองทุนรวม,ic_068,Which of the following options is the most accurate regarding the meaning of a mutual fund?,0.8039293
ตัวเลือกใดต่อไปนี้คือลักษณะของกองทุนปิด,ic_069,Which of the following options describes the characteristics of a closed-end fund?,0.8198538
ตัวเลือกใดต่อไปนี้้ ไม่ใช่ กองทุนรวมทรัพย์สินทางเลือก,ic_070,Which of the following options is not an alternative asset mutual fund?,0.8614656
ในการพิจารณาเปรียบเทียบผลตอบแทนจากการลงทุนในกองทุนรวม ผู้ลงทุนควรใช้ผลตอบแทนประเภทใด,ic_071,"When considering the comparison of returns from mutual fund investments, what type of return should investors use?",0.8572746
กองทุนทีมีสถานะการลงทุนได้ทังตราสารทุน ตราสารหนี้ และทรัพย์สินทางเลือก ถือว่ามีความเสี่ยงอยู่ในระดับใด,ic_072,"What is the risk level of a fund that can invest in equities, bonds, and alternative assets?",0.8348478
มาตรวัดผลการดําเนินงานประเภทใดต่อไปนี้ทีใช้วัดความสามารถของผู้จัดการกองทุนในการหาผลตอบแทนส่วนเพิมจาก benchmark โดยพิจารณาถึง tracking error ของกองทุนควบคู่ไปด้วย,ic_073,Which type of performance measurement is used to assess a fund manager's ability to generate excess returns over the benchmark while also considering the fund's tracking error?,0.7095843
กลยุทธ์การลงทุนในกองทุนรวมแบบใดต่อไปนี้ทีใช้ทังวิธี Dollar Cost Averaging และ 9arket Timing ควบคู่กัน,ic_074,Which of the following mutual fund investment strategies uses both Dollar Cost Averaging and Market Timing together?,0.78175366
หากผู้ลงทุนมีเงินเดือนๆ ละ 500000 บาท จ่ายเงินสะสมเข้ากองทุนสํารองเลียงชีพ 5% ของเงินเดือน และมีการซื้อประกันแบบบํานาญเอาไว้โดยจ่ายเบียปีละ 100000 บาท ผู้ลงทุนจะสามารถซื้อหน่วยลงทุนของกองทุนรวม RMF เพื่อลดหย่อนภาษีได้สูงสุดเท่ากับเท่าใด,ic_075,"If an investor has a monthly salary of 500,000 Baht, contributes 5% of their salary to a provident fund, and has purchased an annuity insurance policy with an annual premium of 100,000 Baht, what is the maximum amount the investor can invest in RMF mutual fund units for tax deduction purposes?",0.73610353
ตัวเลือกใดถูกต้องเกียวกับลักษณะของตราสารหนีทีมีความเสียงสูงหรือมีความซับซ้อน,ic_076,Which option is correct regarding the characteristics of high-risk or complex debt instruments?,0.7126421
ตัวเลือกใดถูกต้องเกียวกับ ตราสารหนีทีความซับซ้อนเกิดจากการมีลักษณะคล้ายตราสารทุน (Hybrid Securities),ic_077,Which option is correct regarding hybrid securities that have characteristics similar to equity instruments?,0.76608837
ตัวเลือกใดถูกต้องเกียวกับ ตราสารหนีทีผู้ออกตราสารมีสิทธิเลือนการจ่ายดอกเบีย,ic_078,Which option is correct regarding bonds where the issuer has the right to defer interest payments?,0.7538092
ตัวเลือกใดถูกต้องเกียวกับ ตราสาร Basel III,ic_079,Which option is correct regarding Basel III instruments?,0.85612684
ตัวเลือกใดถูกต้องเกียวกับ ตราสารหนีทีครบกําหนดไถ่ถอนเมือมีการเลิกบริษัท (Perpetual bond),ic_080,Which option is correct regarding a perpetual bond that matures upon the dissolution of the company?,0.809004
ตัวเลือกใดถูกต้องเกียวกับ ตราสารหนีทีความซับซ้อนเกิดจากการมีอนุพันธ์แฝง (หุ้นกู้อนุพันธ์),ic_081,Which option is correct regarding complex debt instruments arising from embedded derivatives (derivative debentures)?,0.74452114
หุ้นกู้อนุพันธ์ทีจ่ายผลตอบแทนอ้างอิงกับหุ้นสามัญ (Equity-linked notes: ELN) มูลค่า 10000 บาท อายุ 3 เดือน มีเงือนไขดังนี หากราคาหุ้นวันสุดท้ายสูงกว่า 100 บาท ผู้ถือหุ้นกู้จะได้รับเงินต้นพร้อมดอกเบีย ร้อยละ 1.2% ต่อไตรมาส (E เดือน) หากราคาหุ้นวันสุดท้ายตํากว่าหรือเท่ากับ 100 บาท ผู้ถือหุ้นกู้จะได้หุ้นจํานวน 100 หุ้นราคาหุ้นละ 100 บาท ตัวเลือกใดแสดงจํานวนเงินหรือหุ้นทีจะได้รับเมือหุ้นกู้อนุพันธ์ครบกําหนดอายุสัญญาได้ถูกต้อง,ic_082,"Thai: หุ้นกู้อนุพันธ์ทีจ่ายผลตอบแทนอ้างอิงกับหุ้นสามัญ (Equity-linked notes: ELN) มูลค่า 10000 บาท อายุ 3 เดือน มีเงือนไขดังนี หากราคาหุ้นวันสุดท้ายสูงกว่า 100 บาท ผู้ถือหุ้นกู้จะได้รับเงินต้นพร้อมดอกเบีย ร้อยละ 1.2% ต่อไตรมาส (E เดือน) หากราคาหุ้นวันสุดท้ายตํากว่าหรือเท่ากับ 100 บาท ผู้ถือหุ้นกู้จะได้หุ้นจํานวน 100 หุ้นราคาหุ้นละ 100 บาท ตัวเลือกใดแสดงจํานวนเงินหรือหุ้นทีจะได้รับเมือหุ้นกู้อนุพันธ์ครบกําหนดอายุสัญญาได้ถูกต้อง

English: An equity-linked note (ELN) with a value of 10,000 baht and a maturity of 3 months has the following conditions: If the stock price on the final day is higher than 100 baht, the bondholder will receive the principal plus interest at a rate of 1.2% per quarter (3 months). If the stock price on the final day is less than or equal to 100 baht, the bondholder will receive 100 shares at a price of 100 baht per share. Which option correctly shows the amount of money or shares that will be received when the equity-linked note reaches maturity?",0.93266416
หุ้นกู้อนุพันธ์ทีจ่ายผลตอบแทนอ้างอิงกับดอกเบียในตลาดเงิน(interest rate-linked notes) มูลค่า 1000 บาทอายุ 1 ปี จ่ายผลตอบแทนปีละครัง โดยมีเงือนไขชําระหนีเมือครบกําหนดอายุสัญญา คือ จํานวนเงินทีได้รับชําระคืน = มูลค่าทีตราไว้ + { มูลค่าทีตราไว้ x [ max(1%  (10% - MLR เฉลีย) ] } ตัวเลือกใดแสดงจํานวนเงินทีจะได้รับชําระคืน เมือหุ้นกู้อนุพันธ์ครบกําหนดอายุสัญญาได้ถูกต้อง,ic_083,"Sure, here is the translation of the Thai question into English:

""Interest rate-linked notes with a value of 1,000 Baht and a maturity of 1 year pay an annual return. The condition for repayment upon maturity is: the amount to be repaid = face value + { face value x [ max(1%, (10% - average MLR)) ] }. Which option correctly shows the amount to be repaid when the interest rate-linked notes reach maturity?""

",0.7336599
ตัวเลือกใดแสดงจํานวนเงินทีจะได้รับคืน เมือหุ้นกู้อนุพันธ์ ครบกําหนดอายุสัญญาได้ถูกต้อง,ic_084,Which option correctly shows the amount of money to be refunded when the derivative bond matures?,0.8378433
ตัวเลือกใดถูกต้องเกียวกับ ตราสารหนีทีมีความเสียงสูง(I ตราสารหนีทีได้รับจัดอันดับความน่าเชือถือสูงกว่าอันดับทีสามารถลงทุนได้II ตราสารหนีทีไม่ได้รับจัดอันดับความน่าเชือถือ (Unrated bond)III ตราสารหนีทีอันดับความน่าเชือถือทีตํากว่า B-IV ตราสารหนีทีอันดับความน่าเชือถือตํากว่า BBB-),ic_085,"Which option is correct regarding high-risk bonds?
I. Bonds that have a higher credit rating than investment grade
II. Bonds that are not rated (Unrated bonds)
III. Bonds with a credit rating lower than B-
IV. Bonds with a credit rating lower than BBB-",0.78839684
ตัวเลือกใดถูกต้องเกียวกับ กองทุนรวมทีมีความเสียงสูงหรือซับซ้อน,ic_086,Which option is correct regarding high-risk or complex mutual funds?,0.75480425
ตัวเลือกใดถูกต้องเกียวกับ กองทุนรวมทีมีนโยบายการลงทุนในตราสารหนีทีมีอันดับความน่าเชือถือตําหรือไม่มีอันดับความน่าเชือถือ,ic_087,Which option is correct regarding mutual funds that have an investment policy in low-rated or unrated debt instruments?,0.6953756
ตัวเลือกใดถูกต้องเกียวกับ กองทุนรวมทีมีนโยบายในตราสารหนีทีมีอันดับความน่าเชือถือตําหรือไม่มีอันดับความน่าเชือถือ,ic_088,Which option is correct regarding mutual funds that have a policy of investing in debt instruments with low credit ratings or no credit ratings?,0.6563243
ตัวเลือกใดถูกต้องเกียวกับ กองทุนรวม Complex Return,ic_089,Which option is correct regarding the Complex Return mutual fund?,0.92085785
นายสมภพ ซือกองทุนรวม Equity Complex Return มูลค่า 100000 บาท อายุ 1 ปี โดยโครงสร้างการลงทุนจะนําเงินไปลงทุนตราสารหนี rj.1% และทีเหลือ 3.1% ลงทุนในสัญญาคอลออปชัน (Call Option) ของหุ้นสามัญ การจ่ายผลตอบแทนจะอ้างอิงราคาหุ้นสามัญ ABC โดยมีเงือนไขแบ่งออกเป็น 3 กรณี ดังนีราคาหุ้นสามัญ ABC ผลตอบแทน% (ต่อปี) น้อยกว่า 341 4% 341 -334 5% มากกว่า 334 10% ตัวเลือกใดถูกต้องเกียวกับ กองทุนรวม Equity Complex Return เมือครบกําหนดอายุโครงการ,ic_090,"Mr. Somphop buys an Equity Complex Return mutual fund worth 100,000 baht with a maturity of 1 year. The investment structure allocates funds to invest in debt instruments at 1% and the remaining 3.1% in call options on common stocks. The return payment is based on the price of ABC common stock, with conditions divided into 3 cases as follows:

ABC common stock price | Annual return %
Less than 341 | 4%
341 - 334 | 5%
More than 334 | 10%

Which option is correct regarding the Equity Complex Return mutual fund at the end of the project maturity?",0.8248192
ตัวเลือกใดถูกต้องเกียวกับ กองทุนรวมสินค้าโภคภัณฑ์ทีลงทุนในสัญญาซือขายล่วงหน้า,ic_091,Which option is correct regarding commodity mutual funds that invest in futures contracts?,0.76421607
ตัวเลือกใดถูกต้องเกียวกับ กองทุนรวมสินค้าโภคภัณฑ์ทีลงทุนในสัญญาซือขายล่วงหน้า,ic_092,Which option is correct regarding commodity mutual funds that invest in futures contracts?,0.76421607
ตัวเลือกใดถูกต้องเกียวกับกองทุนรวมทีมีนโยบายทีไม่จํากัดอัตราส่วนการลงทุน (Hedge Fund),ic_093,Which option is correct regarding a mutual fund with an unrestricted investment policy (Hedge Fund)?,0.89586306
ตัวเลือกใดถูกต้องเกียวกับกองทุนรวมทีมีนโยบายทีไม่จํากัดอัตราส่วนการลงทุน (Hedge Fund),ic_094,Which option is correct regarding a mutual fund with an unrestricted investment policy (Hedge Fund)?,0.89586306
ตัวเลือกใดถูกต้องเกียวกับกองทุนรวมทีมีการลงทุนในสัญญาซือขายล่วงหน้าและตราสารทีมีสัญญาซือขายล่วงหน้าแฝงแบบซับซ้อน,ic_095,Which option is correct regarding mutual funds that invest in futures contracts and complex instruments with embedded futures contracts?,0.77645427
ตัวเลือกใด ไม่ใช่ ผลิตภัณฑ์ในตลาดทุนทีมีความเสียงสูงหรือซับซ้อน,ic_096,Which option is not a high-risk or complex product in the capital market?,0.8226837
ตัวเลือกใด ไม่ถูกต้อง เกียวกับแนวทางการให้คําแนะนําการลงทุนในผลิตภัณฑ์ทีมีความเสียงสูงหรือมีความซับซ้อน,ic_097,Which option is incorrect regarding the guidelines for providing investment advice on high-risk or complex products?,0.86640954
ตัวเลือกใดถูกต้องเกียวกับการให้คําแนะนําการลงทุนในผลิตภัณฑ์ทีมีความเสียงสูงหรือมีความซับซ้อน,ic_098,Which option is correct regarding providing investment advice for high-risk or complex products?,0.8522811
ตัวเลือกใดถูกต้องเกียวกับการผิดนัดชําระหนีของตราสารหนี้,ic_099,Which option is correct regarding the default of a debt instrument?,0.73479074
ตัวเลือกใดถูกต้องเกียวกับการให้คําแนะนําการลงทุนในกองทุนรวมทีมีความเสียงสูงหรือมีความซับซ้อน,ic_100,Which option is correct regarding providing investment advice for high-risk or complex mutual funds?,0.8019132
"กำหนดให้ p เป็นจำนวนจริงโดยที่ p,1,p+3,... เป็นลำดับเลขคณิต
ผลบวก 10 พจน์แรกของอนุกรมที่ได้จากลำดับเลขคณิตนี้ เท่ากับเท่าใด",onet_001,"Given that \( p \) is a real number such that \( p, 1, p+3, \ldots \) forms an arithmetic sequence, what is the sum of the first 10 terms of the series derived from this arithmetic sequence?",0.77492356
"อะตอมธาตุ X มี 15 อิเล็กตรอน และ 16 นิวตรอนข้อใดถูกต้อง
",onet_002,Atom X has 15 electrons and 16 neutrons. Which of the following is correct?,0.8587531
"พืชชนิดใดเหมาะสมที่จะปลูกได้ในบริเวณที่มีฝนตกสม่ำเสมอตลอดปี มีความชื้นสูง แสงแดดจัด และมีปริมาณฝนเฉลี่ยประมาณ 1,800-2,000 มิลลิเมตรต่อปี",onet_003,"Which type of plant is suitable to grow in an area with consistent rainfall throughout the year, high humidity, strong sunlight, and an average annual rainfall of approximately 1,800-2,000 millimeters?",0.91245556
ข้อใดมีการแสดงทรรศนะ,onet_004,Which of the following expresses an opinion?,0.6522485
"ใช้ข้อความต่อไปนี้ตอบคำถามข้อ ก และข้อ ข
กรรมการ : ดิฉันขอเสนอประเด็นเพิ่มเติมเพื่อ.............เพียงเท่านี้ ขอบคุณ ค่ะ
ประธาน : เอาละครับนับตั้งแต่การประชุมครั้งที่แล้วมีผู้เสนอประเด็นใน
เรื่องนี้ไว้หลายประเด็นรวมกับของวันนี้อีก๒ประเด็นน่าจะครบถ้วนแล้วเราจะ
นำมาปรึกษากันในที่ประชุมนี้ทีละประเด็นครับ

คำใดเหมาะจะเติมลงในช่องว่างข้างต้น",onet_005,"Use the following text to answer questions A and B:
Committee Member: I would like to propose an additional point to............. That's all, thank you.
Chairperson: Alright, since the last meeting, several points have been proposed on this matter, and with the two additional points today, it should be comprehensive. We will discuss each point in this meeting.

Which word is appropriate to fill in the blank above?",0.81880283
"เวลาเช้าตรู่ที่อากาศเย็นเรามักสังเกตเห็นหยดน้ำ เกาะอยู่ตามใบหญ้า
เพราะอุณหภูมิของอากาศลดต่ำลงจนทำให้ไอน้ำ กลั่นตัวเป็นน้ำ ได้เราเรียก
“จุดน้ำค้าง” หากจุดน้ำค้างมีค่าสูงนั่นคือปริมาณน้ำ ในอากาศขณะนั้นมีมาก

ข้อความข้างต้นมีคำสันธานกี่คำ",onet_006,"In the early morning when the weather is cold, we often observe water droplets clinging to grass blades because the air temperature drops low enough to cause water vapor to condense into liquid water, which we call ""dew point."" If the dew point is high, it means there is a lot of moisture in the air at that time.

How many conjunctions are there in the above passage?",0.7168397
"ใช้ข้อความต่อไปนี้ตอบคำถามข้อ ก และ ข้อ ข
การแสดงของวงดนตรีลูกทุ่งนั้นหากเป็นการเดินสายที่เล่นกลางแจ้งมักเริ่ม
ตั้งแต่เวลาค่ำ เพราะรอให้ผู้ชมเสร็จจากภารกิจประจำวันแล้ว

ข้อความข้างต้นมีคำนามกี่คำ",onet_007,"Use the following text to answer questions A and B:
The performance of the luk thung band, if it is an outdoor tour, usually starts in the evening because they wait for the audience to finish their daily tasks.

How many nouns are there in the above text?",0.70097846
"ใช้ข้อความต่อไปนี้ตอบคำถามข้อ ก และ ข้อ ข
การแสดงของวงดนตรีลูกทุ่งนั้นหากเป็นการเดินสายที่เล่นกลางแจ้งมักเริ่ม
ตั้งแต่เวลาค่ำ เพราะรอให้ผู้ชมเสร็จจากภารกิจประจำวันแล้ว

ข้อความข้างต้นมีคำกริยาหลักกี่คำ",onet_008,"Use the following text to answer questions A and B:
The performance of the luk thung band, if it is an outdoor tour, usually starts in the evening because they wait for the audience to finish their daily tasks.

How many main verbs are there in the above text?",0.6959397
"ใช้ข้อความต่อไปนี้ตอบคำถามข้อ ก และข้อ ข
กรรมการ : ดิฉันขอเสนอประเด็นเพิ่มเติมเพื่อ.............เพียงเท่านี้ ขอบคุณค่ะ
ประธาน : เอาละครับนับตั้งแต่การประชุมครั้งที่แล้วมีผู้เสนอประเด็นใน
เรื่องนี้ไว้หลายประเด็นรวมกับของวันนี้อีก๒ประเด็นน่าจะครบถ้วนแล้วเราจะ
นำมาปรึกษากันในที่ประชุมนี้ทีละประเด็นครับ

ข้อความข้างต้นควรจะอยู่ในระเบียบวาระใดของการประชุม",onet_009,"Use the following text to answer questions A and B:
Committee Member: I would like to propose an additional point for discussion... that's all, thank you.
Chairperson: Alright, since the last meeting, several points have been proposed on this matter, and with the two additional points today, it seems we have covered everything. We will discuss each point in this meeting.

In which part of the meeting agenda should the above text be included?",0.78374445
